code,title,description
456,Health and Personal Care Retailers,"Industries in the Health and Personal Care Retailers subsector retail health and personal care merchandise.  Establishments in this subsector are characterized principally by the products they retail, and some health and personal care retailers have specialized staff including pharmacists, opticians, and other professionals engaged in retailing, advising customers, and/or fitting the product sold to the customer's needs."
4561,Health and Personal Care Retailers,
45611,Pharmacies and Drug Retailers,
456110,Pharmacies and Drug Retailers,This industry comprises establishments generally known as pharmacies and drug retailers engaged in retailing prescription or nonprescription drugs and medicines.
45612,"Cosmetics, Beauty Supplies, and Perfume Retailers",
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers","This industry comprises establishments primarily engaged in retailing cosmetics, perfumes, toiletries, and personal grooming products."
45613,Optical Goods Retailers,
456130,Optical Goods Retailers,This industry comprises establishments primarily engaged in one or more of the following: (1) retailing and fitting prescription eyeglasses and contact lenses; (2) retailing prescription eyeglasses in combination with the grinding of lenses to order on the premises; and (3) retailing nonprescription eyeglasses.
45619,Other Health and Personal Care Retailers,"This industry comprises establishments primarily engaged in retailing health and personal care items (except drugs, medicines, cosmetics, beauty supplies, perfumes, and optical goods)."
456191,Food (Health) Supplement Retailers,"This U.S. industry comprises establishments primarily engaged in retailing food supplement products, such as vitamins, nutrition supplements, and body enhancing supplements."
456199,All Other Health and Personal Care Retailers,"This U.S. industry comprises establishments primarily engaged in retailing specialized lines of health and personal care merchandise (except drugs, medicines, cosmetics, beauty supplies, perfumes, optical goods, and food supplement products)."
457,Gasoline Stations and Fuel Dealers,"Industries in the Gasoline Stations and Fuel Dealers subsector retail automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) and automotive oils, without or in combination with convenience store items; or retail heating oil, liquefied petroleum (LP) gas, and other fuels via direct selling (i.e., home delivery).  Gasoline stations have specialized equipment for storing and dispensing automotive fuels."
4571,Gasoline Stations,"This industry group comprises establishments primarily engaged in retailing automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) and automotive oils or retailing these products in combination with convenience store items.  These establishments have specialized equipment for storing and dispensing automotive fuels."
45711,Gasoline Stations with Convenience Stores,
457110,Gasoline Stations with Convenience Stores,"This industry comprises establishments primarily engaged in retailing automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) in combination with a limited line of groceries.  These establishments can either be in a convenience store (i.e., food mart) setting or a gasoline station setting.  These establishments may also provide automotive repair services."
45712,Other Gasoline Stations,
457120,Other Gasoline Stations,"This industry comprises establishments generally known as gasoline stations (except those with convenience stores) or truck stops primarily engaged in (1) retailing automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) or (2) retailing these fuels in combination with activities, such as providing repair services; selling automotive oils, replacement parts, and accessories; and/or providing food services."
4572,Fuel Dealers,
45721,Fuel Dealers,
457210,Fuel Dealers,"This industry comprises establishments primarily engaged in retailing heating oil, liquefied petroleum (LP) gas, and other fuels via direct selling (i.e., home delivery)."
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","Industries in the Clothing, Clothing Accessories, Shoe, and Jewelry Retailers subsector retail new clothing, clothing accessories, shoes, jewelry, luggage, and leather goods."
4581,Clothing and Clothing Accessories Retailers,
45811,Clothing and Clothing Accessories Retailers,
458110,Clothing and Clothing Accessories Retailers,"This industry comprises establishments primarily engaged in retailing general or specialized lines of new clothing and clothing accessories, such as hats and caps, costume jewelry, gloves, handbags, ties, wigs, toupees, and belts.  These establishments may provide basic alterations, such as hemming, taking in or letting out seams, or lengthening or shortening sleeves."
4582,Shoe Retailers,
45821,Shoe Retailers,
458210,Shoe Retailers,"This industry comprises establishments primarily engaged in retailing all types of new footwear (except hosiery and specialty sports footwear, such as golf shoes, bowling shoes, and cleated shoes).  Establishments primarily engaged in retailing new tennis shoes or sneakers are included in this industry."
4583,"Jewelry, Luggage, and Leather Goods Retailers","This industry group comprises establishments primarily engaged in retailing new jewelry (except costume jewelry); new sterling and plated silverware; new watches and clocks; and new luggage with or without a general line of new leather goods and accessories, such as hats, gloves, handbags, ties, and belts."
45831,Jewelry Retailers,
458310,Jewelry Retailers,This industry comprises establishments primarily engaged in retailing one or more of the following items: (1) new jewelry (except costume jewelry); (2) new sterling and plated silverware; and (3) new watches and clocks.  Also included are establishments retailing these new products in combination with lapidary work and/or repair services.
45832,Luggage and Leather Goods Retailers,
458320,Luggage and Leather Goods Retailers,"This industry comprises establishments primarily engaged in retailing new luggage, briefcases, and trunks, or retailing these new products in combination with a general line of leather items (except leather apparel), such as belts, gloves, and handbags."
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","Industries in the Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers subsector retail new sporting goods; new toys, games, and hobby supplies; new sewing supplies and needlework accessories; new musical instruments; new books, newspapers, magazines, and other periodicals; and other specialized lines of merchandise, such as cut flowers and floral arrangements, new office supplies and stationery, new gifts, novelty merchandise, and souvenirs, used merchandise, pets and pe..."
4591,"Sporting Goods, Hobby, and Musical Instrument Retailers","This industry group comprises establishments primarily engaged in retailing new sporting goods, toys, games, hobby supplies, sewing supplies, needlework accessories, and musical instruments."
45911,Sporting Goods Retailers,
459110,Sporting Goods Retailers,"This industry comprises establishments primarily engaged in retailing new sporting goods, such as bicycles and bicycle parts; camping equipment; exercise and fitness equipment; athletic uniforms; specialty sports footwear; and other sporting goods, equipment, and accessories."
45912,"Hobby, Toy, and Game Retailers",
459120,"Hobby, Toy, and Game Retailers","This industry comprises establishments primarily engaged in retailing new toys, games, and hobby and craft supplies (except needlecraft)."
45913,"Sewing, Needlework, and Piece Goods Retailers",
459130,"Sewing, Needlework, and Piece Goods Retailers","This industry comprises establishments primarily engaged in retailing new sewing supplies, fabrics, patterns, yarns, and other needlework accessories or retailing these products in combination with new sewing machines."
45914,Musical Instrument and Supplies Retailers,
459140,Musical Instrument and Supplies Retailers,"This industry comprises establishments primarily engaged in retailing new musical instruments, sheet music, and related supplies; or retailing these new products in combination with musical instrument repair, rental, or music instruction."
4592,Book Retailers and News Dealers,
45921,Book Retailers and News Dealers,
459210,Book Retailers and News Dealers,"This industry comprises establishments primarily engaged in retailing new books, newspapers, magazines, and other periodicals (without publishing)."
4593,Florists,
45931,Florists,
459310,Florists,"This industry comprises establishments generally known as florists primarily engaged in retailing cut flowers, floral arrangements, and potted plants grown elsewhere.  These establishments may prepare the arrangements they sell."
4594,"Office Supplies, Stationery, and Gift Retailers","This industry group comprises establishments primarily engaged in retailing new office supplies, stationery, gifts, novelty merchandise, and souvenirs."
45941,Office Supplies and Stationery Retailers,
459410,Office Supplies and Stationery Retailers,"This industry comprises establishments primarily engaged in one or more of the following: (1) retailing new office supplies, stationery, and school supplies; (2) retailing a combination of new office equipment, furniture, and supplies; and (3) retailing new office equipment, furniture, and supplies in combination with selling new computers."
45942,"Gift, Novelty, and Souvenir Retailers",
459420,"Gift, Novelty, and Souvenir Retailers","This industry comprises establishments primarily engaged in retailing new gifts, novelty merchandise, souvenirs, greeting cards, seasonal and holiday decorations, and curios."
4595,Used Merchandise Retailers,
45951,Used Merchandise Retailers,
459510,Used Merchandise Retailers,"This industry comprises establishments primarily engaged in retailing used merchandise, antiques, and secondhand goods (except motor vehicles, such as automobiles, RVs, motorcycles, and boats; motor vehicle parts; tires; and mobile homes).  This industry includes establishments retailing used merchandise on an auction basis."
4599,Other Miscellaneous Retailers,"This industry group comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (except motor vehicle and parts dealers; building material and garden equipment and supplies dealers; food and beverage retailers; furniture, home furnishings, electronics, and appliance retailers; general merchandise retailers; health and personal care retailers; gasoline stations and fuel dealers; clothing, clothing accessories, shoe, and jewelry retailers; sporting goods,..."
45991,Pet and Pet Supplies Retailers,
459910,Pet and Pet Supplies Retailers,"This industry comprises establishments primarily engaged in retailing pets, pet foods, and pet supplies."
45992,Art Dealers,
459920,Art Dealers,This industry comprises establishments primarily engaged in retailing original and limited edition art works created by others.  Included in this industry are establishments primarily engaged in displaying works of art for retail sale in art galleries.
45993,Manufactured (Mobile) Home Dealers,
459930,Manufactured (Mobile) Home Dealers,"This industry comprises establishments primarily engaged in retailing new and/or used manufactured homes (i.e., mobile homes), parts, and equipment."
45999,All Other Miscellaneous Retailers,"This industry comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (except motor vehicle and parts dealers; building material and garden equipment and supplies dealers; food and beverage retailers; furniture, home furnishings, electronics, and appliance retailers; general merchandise retailers; health and personal care retailers; gasoline stations and fuel dealers; clothing, clothing accessories, shoe, and jewelry retailers; sporting goods, hobby..."
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers","This U.S. industry comprises establishments primarily engaged in retailing cigarettes, electronic cigarettes, cigars, tobacco, pipes, and other smokers' supplies."
459999,All Other Miscellaneous Retailers,"This U.S. industry comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (except motor vehicle and parts dealers; building material and garden equipment and supplies dealers; food and beverage retailers; furniture, home furnishings, electronics, and appliance retailers; general merchandise retailers; health and personal care retailers; gasoline stations and fuel dealers; clothing, clothing accessories, shoe, and jewelry retailers; sporting goods, ..."
48-49,Transportation and Warehousing,"The Transportation and Warehousing sector includes industries providing transportation of passengers and cargo, warehousing and storage for goods, scenic and sightseeing transportation, and support activities related to modes of transportation.  Establishments in these industries use transportation equipment or transportation-related facilities as a productive asset.  The type of equipment depends on the mode of transportation."
481,Air Transportation,"Industries in the Air Transportation subsector provide air transportation of passengers and/or cargo using aircraft, such as airplanes, helicopters, and spacecraft.  The subsector distinguishes scheduled from nonscheduled air transportation.  Scheduled air carriers fly regular routes on regular schedules and operate even if flights are only partially loaded.  Nonscheduled carriers often operate during nonpeak time slots at busy airports."
4811,Scheduled Air Transportation,
48111,Scheduled Air Transportation,This industry comprises establishments primarily engaged in providing air transportation of passengers and/or cargo over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.
481111,Scheduled Passenger Air Transportation,This U.S. industry comprises establishments primarily engaged in providing air transportation of passengers or passengers and freight over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Scheduled air passenger carriers including commuter and helicopter carriers (except scenic and sightseeing) are included in this industry.
481112,Scheduled Freight Air Transportation,This U.S. industry comprises establishments primarily engaged in providing air transportation of cargo without transporting passengers over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.
4812,Nonscheduled Air Transportation,
48121,Nonscheduled Air Transportation,"This industry comprises establishments primarily engaged in (1) providing air transportation of passengers and/or cargo with no regular routes and regular schedules or (2) providing specialty flying services with no regular routes and regular schedules using general purpose aircraft.  These establishments have more flexibility with respect to choice of airports, hours of operation, load factors, and similar operational characteristics."
481211,Nonscheduled Chartered Passenger Air Transportation,This U.S. industry comprises establishments primarily engaged in providing air transportation of passengers or passengers and cargo with no regular routes and regular schedules.
481212,Nonscheduled Chartered Freight Air Transportation,This U.S. industry comprises establishments primarily engaged in providing air transportation of cargo without transporting passengers with no regular routes and regular schedules.
481219,Other Nonscheduled Air Transportation,This U.S. industry comprises establishments primarily engaged in providing air transportation with no regular routes and regular schedules (except nonscheduled chartered passenger and/or cargo air transportation).  These establishments provide a variety of specialty air transportation or flying services based on individual customer needs using general purpose aircraft.
482,Rail Transportation,"Industries in the Rail Transportation subsector provide rail transportation of passengers and/or cargo using railroad rolling stock.  The railroads in this subsector primarily either operate on networks, with physical facilities, labor force, and equipment spread over an extensive geographic area, or operate over a short distance on a local rail line."
4821,Rail Transportation,
48211,Rail Transportation,"This industry comprises establishments primarily engaged in operating railroads (except street railroads, commuter rail, urban rapid transit, and scenic and sightseeing trains).  Line-haul railroads and short-line railroads are included in this industry."
482111,Line-Haul Railroads,This U.S. industry comprises establishments known as line-haul railroads primarily engaged in operating railroads for the transport of passengers and/or cargo over a long distance within a rail network.  These establishments provide for the intercity movement of trains between the terminals and stations on main and branch lines of a line-haul rail network (except for local switching services).
482112,Short Line Railroads,This U.S. industry comprises establishments known as short-line railroads primarily engaged in operating railroads for the transport of cargo over a short distance on local rail lines not part of a rail network.
483,Water Transportation,"Industries in the Water Transportation subsector provide water transportation of passengers and cargo using watercraft, such as ships, barges, and boats. The subsector is composed of two industry groups: (1) one for deep sea, coastal, and Great Lakes water transportation; and (2) one for inland water transportation.  This split typically reflects the difference in equipment used."
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",
48311,"Deep Sea, Coastal, and Great Lakes Water Transportation","This industry comprises establishments primarily engaged in providing deep sea, coastal, Great Lakes, and St. Lawrence Seaway water transportation.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System."
483111,Deep Sea Freight Transportation,This U.S. industry comprises establishments primarily engaged in providing deep sea transportation of cargo to or from foreign ports.
483112,Deep Sea Passenger Transportation,This U.S. industry comprises establishments primarily engaged in providing deep sea transportation of passengers to or from foreign ports.
483113,Coastal and Great Lakes Freight Transportation,"This U.S. industry comprises establishments primarily engaged in providing water transportation of cargo in coastal waters, on the Great Lakes System, or deep seas between ports of the United States, Puerto Rico, and United States island possessions or protectorates.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System."
483114,Coastal and Great Lakes Passenger Transportation,"This U.S. industry comprises establishments primarily engaged in providing water transportation of passengers in coastal waters, the Great Lakes System, or deep seas between ports of the United States, Puerto Rico, and United States island possessions and protectorates.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System."
4832,Inland Water Transportation,
48321,Inland Water Transportation,"This industry comprises establishments primarily engaged in providing inland water transportation of passengers and/or cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System)."
483211,Inland Water Freight Transportation,"This U.S. industry comprises establishments primarily engaged in providing inland water transportation of cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System)."
483212,Inland Water Passenger Transportation,"This U.S. industry comprises establishments primarily engaged in providing inland water transportation of passengers on lakes, rivers, or intracoastal waterways (except on the Great Lakes System)."
484,Truck Transportation,"Industries in the Truck Transportation subsector provide over-the-road transportation of cargo using motor vehicles, such as trucks and tractor trailers.  The subsector is subdivided into general freight trucking and specialized freight trucking.  This distinction reflects differences in equipment used, type of load carried, scheduling, terminal, and other networking services."
4841,General Freight Trucking,"This industry group comprises establishments primarily engaged in providing general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized, and transported in a container or van trailer.  The establishments of this industry group provide a combination of the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery."
48411,"General Freight Trucking, Local",
484110,"General Freight Trucking, Local","This industry comprises establishments primarily engaged in providing local general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized and transported in a container or van trailer.  Local general freight trucking establishments usually provide trucking within a metropolitan area which may cross state lines.  Generally the trips are same-day return."
48412,"General Freight Trucking, Long-Distance","This industry comprises establishments primarily engaged in providing long-distance general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized and transported in a container or van trailer.  Long-distance general freight trucking establishments usually provide trucking between metropolitan areas which may cross North American country borders."
484121,"General Freight Trucking, Long-Distance, Truckload",This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.
484122,"General Freight Trucking, Long-Distance, Less Than Truckload","This U.S. industry comprises establishments primarily engaged in providing long-distance, general freight, less than truckload (LTL) trucking.  LTL carriage is characterized as multiple shipments combined onto a single truck for multiple deliveries within a network.  These establishments are generally characterized by the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery."
4842,Specialized Freight Trucking,"This industry group comprises establishments primarily engaged in providing local or long-distance specialized freight trucking.  The establishments of this industry are primarily engaged in the transportation of freight which, because of size, weight, shape, or other inherent characteristics, requires specialized equipment, such as flatbeds, tankers, or refrigerated trailers.  This industry includes the transportation of used household, institutional, and commercial furniture and equipment."
48421,Used Household and Office Goods Moving,
484210,Used Household and Office Goods Moving,"This industry comprises establishments primarily engaged in providing local or long-distance trucking of used household, used institutional, or used commercial furniture and equipment.  Incidental packing and storage activities are often provided by these establishments."
48422,"Specialized Freight (except Used Goods) Trucking, Local",
484220,"Specialized Freight (except Used Goods) Trucking, Local","This industry comprises establishments primarily engaged in providing local, specialized trucking.  Local trucking establishments provide trucking within a metropolitan area that may cross state lines.  Generally the trips are same-day return."
48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance",
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.
485,Transit and Ground Passenger Transportation,"Industries in the Transit and Ground Passenger Transportation subsector include a variety of passenger transportation activities, such as urban transit systems; chartered bus, school bus, and interurban bus transportation; and taxis.  These activities are distinguished based primarily on such production process factors as vehicle types, routes, and schedules. In this subsector, the principal splits identify scheduled transportation as separate from nonscheduled transportation."
4851,Urban Transit Systems,
48511,Urban Transit Systems,"This industry comprises establishments primarily engaged in operating local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.  Such transportation systems involve the use of one or more modes of transport including light rail, commuter rail, subways, and streetcars, as well as buses and other motor vehicles."
485111,Mixed Mode Transit Systems,This U.S. industry comprises establishments primarily engaged in operating local and suburban ground passenger transit systems using more than one mode of transport over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.
485112,Commuter Rail Systems,"This U.S. industry comprises establishments primarily engaged in operating local and suburban commuter rail systems over regular routes and on a regular schedule within a metropolitan area and its adjacent nonurban areas.  Commuter rail is usually characterized by reduced fares, multiple ride and commutation tickets, and mostly used by passengers during the morning and evening peak periods."
485113,Bus and Other Motor Vehicle Transit Systems,This U.S. industry comprises establishments primarily engaged in operating local and suburban passenger transportation systems using buses or other motor vehicles over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.
485119,Other Urban Transit Systems,"This U.S. industry comprises establishments primarily engaged in operating local and suburban ground passenger transit systems (except mixed mode transit systems, commuter rail systems, and buses and other motor vehicles) over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas."
4852,Interurban and Rural Bus Transportation,
48521,Interurban and Rural Bus Transportation,
485210,Interurban and Rural Bus Transportation,"This industry comprises establishments primarily engaged in providing bus passenger transportation over regular routes and on regular schedules, principally outside a single metropolitan area and its adjacent nonurban areas."
4853,Taxi and Limousine Service,This industry group comprises establishments primarily engaged in providing passenger transportation by automobile or van or providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
48531,Taxi and Ridesharing Services,
485310,Taxi and Ridesharing Services,"This industry comprises establishments primarily engaged in providing passenger transportation by automobile or van, not operated over regular routes and on regular schedules.  Establishments of taxicab owner/operators, taxicab fleet operators, taxicab organizations, ridesharing services (including arrangement services), and ride hailing services (including arrangement services) are included in this industry."
48532,Limousine Service,
485320,Limousine Service,This industry comprises establishments primarily engaged in providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
4854,School and Employee Bus Transportation,
48541,School and Employee Bus Transportation,
485410,School and Employee Bus Transportation,This industry comprises establishments primarily engaged in providing buses and other motor vehicles to transport pupils to and from school or employees to and from work.
4855,Charter Bus Industry,
48551,Charter Bus Industry,
485510,Charter Bus Industry,This industry comprises establishments primarily engaged in providing buses for charter.  These establishments provide bus services to meet customers' road transportation needs and generally do not operate over fixed routes and on regular schedules.
4859,Other Transit and Ground Passenger Transportation,
48599,Other Transit and Ground Passenger Transportation,"This industry comprises establishments primarily engaged in providing other transit and ground passenger transportation (except urban transit systems, interurban and rural bus transportation, taxi and ridesharing services, school and employee bus transportation, charter bus services, and limousine services (except shuttle services)).  Shuttle services (except school and employee bus) and special needs transportation services are included in this industry."
485991,Special Needs Transportation,This U.S. industry comprises establishments primarily engaged in providing special needs transportation (except to and from school or work) for the disabled or elderly.  These establishments may use specially equipped vehicles to provide passenger transportation.
485999,All Other Transit and Ground Passenger Transportation,"This U.S. industry comprises establishments primarily engaged in providing ground passenger transportation (except urban transit systems; interurban and rural bus transportation, taxi and/or limousine services (except shuttle services), school and employee bus transportation, charter bus services, and special needs transportation)."
486,Pipeline Transportation,"Industries in the Pipeline Transportation subsector use transmission pipelines to transport products, such as crude oil, natural gas, refined petroleum products, and slurry.  Industries are identified based on the products transported (i.e., pipeline transportation of crude oil, natural gas, refined petroleum products, and other products)."
4861,Pipeline Transportation of Crude Oil,
48611,Pipeline Transportation of Crude Oil,
486110,Pipeline Transportation of Crude Oil,This industry comprises establishments primarily engaged in the pipeline transportation of crude oil.
4862,Pipeline Transportation of Natural Gas,
48621,Pipeline Transportation of Natural Gas,
486210,Pipeline Transportation of Natural Gas,This industry comprises establishments primarily engaged in the pipeline transportation of natural gas from processing plants to local distribution systems. This industry includes the storage of natural gas because the storage is usually done by the pipeline establishment and because a pipeline is inherently a network in which all the nodes are interdependent.
4869,Other Pipeline Transportation,This industry group comprises establishments primarily engaged in the pipeline transportation of products (except crude oil and natural gas).
48691,Pipeline Transportation of Refined Petroleum Products,
486910,Pipeline Transportation of Refined Petroleum Products,This industry comprises establishments primarily engaged in the pipeline transportation of refined petroleum products.
48699,All Other Pipeline Transportation,
486990,All Other Pipeline Transportation,"This industry comprises establishments primarily engaged in the pipeline transportation of products (except crude oil, natural gas, and refined petroleum products)."
487,Scenic and Sightseeing Transportation,"Industries in the Scenic and Sightseeing Transportation subsector utilize transportation equipment to provide recreation and entertainment.  These activities have a production process distinct from passenger transportation carried out for the purpose of other types of for-hire transportation.  This process does not emphasize efficient transportation; in fact, such activities often use obsolete vehicles, such as steam trains, to provide some extra ambience."
4871,"Scenic and Sightseeing Transportation, Land",
48711,"Scenic and Sightseeing Transportation, Land",
487110,"Scenic and Sightseeing Transportation, Land","This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on land, such as sightseeing buses and trolleys, steam train excursions, and horse-drawn sightseeing rides.  The services provided are usually local and involve same-day return to place of origin."
4872,"Scenic and Sightseeing Transportation, Water",
48721,"Scenic and Sightseeing Transportation, Water",
487210,"Scenic and Sightseeing Transportation, Water",This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on water.  The services provided are usually local and involve same-day return to place of origin.
4879,"Scenic and Sightseeing Transportation, Other",
48799,"Scenic and Sightseeing Transportation, Other",
487990,"Scenic and Sightseeing Transportation, Other",This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation (except on land and water).  The services provided are usually local and involve same-day return to place of departure.
488,Support Activities for Transportation,"Industries in the Support Activities for Transportation subsector provide services which support transportation.  These services may be provided to transportation carrier establishments or to the general public.  This subsector includes a wide array of establishments, including air traffic control services, marine cargo handling, and motor vehicle towing. The Support Activities for Transportation subsector includes services to transportation, separated by type of mode serviced."
4881,Support Activities for Air Transportation,"This industry group comprises establishments primarily engaged in providing services to the air transportation industry.  These services include airport operation, servicing, repairing (except factory conversion and overhaul of aircraft), maintaining and storing aircraft, and ferrying aircraft."
48811,Airport Operations,"This industry comprises establishments primarily engaged in (1) operating international, national, or civil airports or public flying fields or (2) supporting airport operations (except special food services contractors), such as rental of hangar space, air traffic control (except military) services, baggage handling services, and cargo handling services."
488111,Air Traffic Control,This U.S. industry comprises establishments primarily engaged in providing air traffic control (except military) services to regulate the flow of air traffic.
488119,Other Airport Operations,"This U.S. industry comprises establishments primarily engaged in (1) operating international, national, or civil airports, or public flying fields or (2) supporting airport operations, such as rental of hangar space, and providing baggage handling and/or cargo handling services."
48819,Other Support Activities for Air Transportation,
488190,Other Support Activities for Air Transportation,This industry comprises establishments primarily engaged in providing specialized services for air transportation (except air traffic control and other airport operations).
4882,Support Activities for Rail Transportation,
48821,Support Activities for Rail Transportation,
488210,Support Activities for Rail Transportation,"This industry comprises establishments primarily engaged in providing specialized services for railroad transportation, including servicing, routine repairing (except factory conversion, overhaul, or rebuilding of rolling stock), and maintaining rail cars; loading and unloading rail cars; and operating independent terminals."
4883,Support Activities for Water Transportation,"This industry group comprises establishments primarily engaged in one of the following: (1) operating ports, harbors (including docking and pier facilities), or canals; (2) providing stevedoring and other marine cargo handling services (except warehousing); (3) providing navigational services to shipping; or (4) providing other services to water transportation."
48831,Port and Harbor Operations,
488310,Port and Harbor Operations,"This industry comprises establishments primarily engaged in operating ports, harbors (including docking and pier facilities), or canals."
48832,Marine Cargo Handling,
488320,Marine Cargo Handling,This industry comprises establishments primarily engaged in providing stevedoring and other marine cargo handling services (except warehousing).
48833,Navigational Services to Shipping,
488330,Navigational Services to Shipping,This industry comprises establishments primarily engaged in providing navigational services to shipping.  Marine salvage establishments are included in this industry.
48839,Other Support Activities for Water Transportation,
488390,Other Support Activities for Water Transportation,This industry comprises establishments primarily engaged in providing services to water transportation (except port and harbor operations; marine cargo handling services; and navigational services to shipping).
4884,Support Activities for Road Transportation,"This industry group comprises establishments primarily engaged in (1) towing light or heavy motor vehicles, both local and long-distance, or (2) providing other services to road network users."
48841,Motor Vehicle Towing,
488410,Motor Vehicle Towing,"This industry comprises establishments primarily engaged in towing light or heavy motor vehicles, both local and long-distance.  These establishments may provide incidental services, such as storage and emergency road repair services."
48849,Other Support Activities for Road Transportation,
488490,Other Support Activities for Road Transportation,This industry comprises establishments primarily engaged in providing services (except motor vehicle towing) to road network users.
4885,Freight Transportation Arrangement,
48851,Freight Transportation Arrangement,
488510,Freight Transportation Arrangement,"This industry comprises establishments primarily engaged in arranging transportation of freight between shippers and carriers.  These establishments are usually known as freight forwarders, marine shipping agents, or customs brokers and offer a combination of services spanning transportation modes but do not directly provide shipping services."
4889,Other Support Activities for Transportation,
48899,Other Support Activities for Transportation,This industry comprises establishments primarily engaged in providing support activities to transportation (except for air transportation; rail transportation; water transportation; road transportation; and freight transportation arrangement).
488991,Packing and Crating,"This U.S. industry comprises establishments primarily engaged in packing, crating, and otherwise preparing goods for transportation."
488999,All Other Support Activities for Transportation,This U.S. industry comprises establishments primarily engaged in providing support activities to transportation (except for air transportation; rail transportation; water transportation; road transportation; freight transportation arrangement; and packing and crating).
491,Postal Service,"The Postal Service subsector includes the activities of the National Post Office and its subcontractors operating under a universal service obligation to provide mail services, and using the infrastructure required to fulfill that obligation.  These services include delivering letters and small parcels.  These articles can be described as those that can be handled by one person without using special equipment."
4911,Postal Service,
49111,Postal Service,
491110,Postal Service,"This industry comprises establishments primarily engaged in providing mail services under a universal service obligation.  Mail services include the carriage of letters, printed matter, or mailable packages, including acceptance, collection, processing, and delivery.  Due to the infrastructure requirements of providing mail service under a universal service obligation, postal service establishments often provide parcel and express delivery services in addition to the mail service."
492,Couriers and Messengers,"Industries in the Couriers and Messengers subsector provide intercity, local, and/or international delivery of parcels and documents (including express delivery services) without operating under a universal service obligation.  These articles may originate in the U.S. but be delivered to another country and can be described as those that may be handled by one person without using special equipment."
4921,Couriers and Express Delivery Services,
49211,Couriers and Express Delivery Services,
492110,Couriers and Express Delivery Services,"This industry comprises establishments primarily engaged in providing air, surface, or combined mode courier and express delivery services of parcels, but not operating under a universal service obligation.  These parcels can include goods and documents, but the express delivery services are not part of the normal mail service."
4922,Local Messengers and Local Delivery,
49221,Local Messengers and Local Delivery,
492210,Local Messengers and Local Delivery,This industry comprises establishments primarily engaged in providing local messenger and delivery services of small items within a single metropolitan area or within an urban center.  These establishments generally provide point-to-point pick-up and delivery and do not operate as part of an intercity courier network.
